bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx,talk_en,
sky_summer,,MusMus-BGM-165,,,,,,,ขณะนี้เป็นเวลาพักเที่ยง พวกเราทุกคนมารวมตัวกันที่ห้องสภานักเรียน,,,,It's lunchtime now. We've all gathered in the student council room.,
school_councilroom_morning,,,,reika,,cold_2,,reika,เห้อ จดหมายสารภาพรักอีกแล้ว พักหลังนี้มีมาเยอะชะมัด,,reika_2_7_001,,"Sigh, another love confession letter. There have been quite a few lately.",
,,,,,,,,,ทำไมช่วงนี้คนรอบๆตัวผมถึงมีคนมาสารภาพรักด้วยเยอะชะมัด,,,,Why are so many people around me getting confessed to these days?,
,,,,,,,,,นี่คงเป็นข้อดีของการที่น้องสาวของผมเรียนโฮมสคูลสินะ เลยไม่มีพวกมดปลวกมาไต่ตอม,,,,I guess this is one of the benefits of my sister being homeschooled. No pests swarming around her.,
,,,,,,,,,ผมคงทนไม่ไหวแน่ถ้าต้องเห็นพวกผู้ชายมารุมสารภาพรักยูโนะ,,,,I definitely couldn't handle seeing guys crowd around Yuno to confess their love.,
,,,,,,,,yuma,มีคนชอบเยอะ เธอไม่ดีใจรึไง,,,,"With so many admirers, aren't you happy?",
,,,,,,hee_2,,reika,ไม่ล่ะ อีกอย่างยุคนี้ใครเขาใช้กระดาษกัน เทรนด์อนุรักษ์สิ่งแวดล้อมกำลังมาแรง,,reika_2_7_002,,"Nah. Besides, who uses paper these days? The eco-friendly trend is all the rage now.",
,,,,,,,,yuma,การเขียนจดหมายต้องเลือกเฟ้นซองจดหมายและกระดาษ บรรจงเลือกสีและคิด,,,,"Writing a letter requires carefully selecting the envelope and paper, choosing colors thoughtfully, and meticulously crafting each word into characters. ",
,,,,,,,,yuma,ถักทอถ้อยความเรียบเรียงเป็นตัวอักษรทีละตัว สิ่งเหล่านี้เป็นเสน่ห์ที่ดิจิทัลทำไม่ได้นะ,,,,These are charms that digital can't replicate.,
,,,,,,bored_2,,reika,ย่อยทิ้งให้หมด,,reika_2_7_003,,Just shred them all.,
,,,,hide reika,,,,,พอพูดจบ เรกะก็โยนจดหมายรักเข้าเครื่องทำลายเอกสารทันทีโดยไม่ลังเล,,,,"As soon as she finished speaking, Rega tossed the love letters into the paper shredder without hesitation.",sfx ย่อย
,,,,,,,,,ถ้าพวกผู้ชายที่ส่งจดหมายรักมาเห็นเข้าจะรู้สึกอย่างไรกันนะ,,,,I wonder how the guys who sent those love letters would feel if they saw this.,
,,,,,,,,,คิดอีกที ต่อให้เจ้าพวกนั้นส่งแชท LIME ไปก็คงโดน Block แน่นอน,,,,"On second thought, even if those guys sent LINE messages instead, they'd probably just get blocked.",
,,,,,,,,yuma,ทำไมช่วงนี้มีแต่คนถูกสารภาพรักกัน เมื่อไหร่ฉันจะถูกสารภาพรักกับเค้าบ้างเนี่ย,,,,Why is everyone getting confessed to lately? When will it be my turn to receive a confession?,
,,,,,,,,,ก่อนที่ฤดูใบไม้ผลิของผมจะมาถึง คาสึมะก็เข้ามาในห้องสภานักเรียน,,,door_school,"Before my springtime could arrive, Kasuma entered the student council room.",
,,,,kazuma,,normal,,kazuma,มาแล้ว ขอโทษที มีธุระนิดหน่อย,,kazuma_2_7_001,,"I'm here. Sorry, I had a small errand to run.",
,,,,,,ah,,kazuma,ฉันมีเรื่องสำคัญจะบอกทุกคน,,kazuma_2_7_002,,I have something important to tell everyone.,
,,,,hide kazuma,,,,,,,,,,
,,,,reika,,ah,,reika,อย่าบอกนะว่าเรื่องโต้วาที,,reika_2_7_004,,Don't tell me it's about the debate.,
,,,,hide reika,,,,,,,,,,
,,,,kazuma,akane,confident,,kazuma,ใช่แล้ว ถูกต้อง,,kazuma_2_7_003,,"Yes, that's right.",
,,,,,,smile,,akane,ไม่ได้เห็นมานานมากแล้วนะคะ น่าสนุกจัง,,akane_2_7_001,,We haven't seen one in so long. How exciting!,
,,,,hide kazuma,hide akane,,,yuma,เดี๋ยวสิ แล้วการโต้วาทีนี่คืออะไรเหรอ,,,,"Wait a minute, what's this debate thing again?",
,,,,reika,,cold_2,,reika,ยูมะ นายจำไม่ได้จริงๆ เหรอ,,reika_2_7_005,,"Yuma, do you really not remember?",
,,,,hide reika,,,,,,,,,,
,,,,kazuma,,eh,,kazuma,ไม่อยากเชื่อ นายนี่ความจำปลาทองชัดๆ,,kazuma_2_7_004,,I can't believe it. You've got the memory of a goldfish.,
,,,,hide kazuma,,,,,,,,,,
,,,,reika,kazuma,,,yuma,หยุดบูลลี่ปลาทองนะ ปลาทองก็มีจิตใจ,,,,Stop bullying goldfish. They have feelings too.,
,,,,,,,,yuma,ปลาทองโตเต็มไวไม่ได้ความจำสั้นอย่างที่ทุกคนคิด,,,,Goldfish don't actually have short memories like everyone thinks.,
,,,,,,,,yuma,คูลัม บราวน์ นักชีววิทยาทางทะเลจากประเทศออสเตรเลียได้ทดลองว่าปลาทองมีความทรงจำยาวนานเป็นปี,,,,"Culum Brown, a marine biologist from Australia, experimented and found that goldfish can have memories lasting years.",
,,,,,,,,yuma,อีกงานวิจัยจากประเทศอิสราเอลได้ข้อสรุปว่าปลาทองมีความสามารถในการเรียนรู้และมีความจำที่ดีมากเหมือนกัน,,,,Another study from Israel concluded that goldfish have excellent learning abilities and memory too.,text ยาวไป
,,,,,,cold_2,,reika,ก็ได้ ถึงปลาทองจะมีความจำดีเลิศ แต่นายก็ความจำไม่ดีเหมือนเดิม,,reika_2_7_006,,"Fine. Even if goldfish have excellent memory, yours is still just as bad.",
,,,,,,,,yuno,อย่ามาดูถูกกันนะ ฉันคูณเลขในใจได้ 10 หลักเชียวนะ,,yuno_2_7_001,,"Don't look down on me. I can do 10-digit multiplication in my head, you know.",
,,,,,,angry_2,,reika,การคำนวณกับการจดจำมันเป็นคนละเรื่องกัน,,reika_2_7_007,,Calculation and memory are two different things.,
,,,,,,smile,,kazuma,ถ้าเดี๋ยวฉันจะช่วยตัดสินให้เอง,,kazuma_2_7_005,,I'll help settle this right now.,
,,,,hide reika,hide kazuma,ah,,kazuma,ยูมะ ตอนที่เรกะพูดแถลงบนเวที นายจำได้ไหมว่าสารเคมีอะไรในน้ำอัดลมที่กัดกร่อนฟันและเป็นอันตรายต่อร่างกาย,,kazuma_2_7_006,,"Yuma, when Rega was giving her speech on stage, do you remember what chemical in soda she said erodes teeth and is harmful to the body?",
,,,,,,,,,,,,,,
,,,,,,,,,CHOICE,,,,CHOICE,
,,,,,,,,,กรดซัลฟิวริก,,,,Sulfuric acid,
,,,,,,,,,กรดคาร์บอนิก,,,,Carbonic acid,
,,,,,,,,,ยอมเป็นปลาทองก็ได้,,,,I'll accept being a goldfish,
,,,,,,,,,,,,,,
,,,,,,,,,[กรณีตอบถูก],,,,[If answered correctly],
,,,,,,,,,,,,correct,,
,,,,kazuma,,ah,,kazuma,เป็นคำตอบที่…… ถูกต้อง,,,,That answer is... correct.,
,,,,hide kazuma,,,,,,,,,,
,,,,reika,,sad2,,reika,รอดไปนะ,,,,You dodged that one.,
,,,,hide reika,,,,yuma,มันแน่อยู่แล้ว ฝีมือระดับฉัน,,,,Of course. That's my level of skill.,
,,,,,,,,,,,,,,
,,,,,,,,,[กรณีตอบผิด],,,,[If answered incorrectly],
,,,,,,,,,,,,,,
,,,,kazuma,,angry,,kazuma,เป็นคำตอบที่…… ผิด มั่วสิ้นดี,,,wrong,That answer is... wrong. Completely off.,
,,,,hide kazuma,,,,,,,,,,
,,,,reika,,hee,,reika,ยูมะ ความจำของนายแพ้ปลาทองแล้วนะ,,,,"Yuma, your memory is worse than a goldfish's now.",
,,,,hide reika,,,,yuma,พลาดนิดเดียวเอง หยวนๆหน่อยไม่ได้รึไง,,,,I was just off by a bit. Can't you cut me some slack?,
,,,,,,,,,,,,,,
,,,,,,,,,[กรณีเลือกชอยส์สุดท้าย],,,,[If the last choice is selected],
,,,,kazuma,reika,normal,,reika,ยูมะเดอะปลาทอง,,,,Yuma the Goldfish,
,,,,,,normal,,kazuma,ยูมะเดอะปลาทอง,,,,Yuma the Goldfish,
,,,,,,,,,บุ๋งๆ,,,,Blub blub,เปลี่ยนชื่อเป็นปลาทอง
,,,,,,,,,เดี๋ยวก่อน ชื่อของผมเปลี่ยนเป็นยูมะเดอะปลาทองตอนไหนเนี่ย,,,,"Wait a minute, when did my name change to Yuma the Goldfish?",
,,,,,,,,,,,,,,
,,,,reika,,normal_2,,reika,ถ้างั้นอากาเนะ ฝากอธิบายให้ที,,,,"In that case, Akane, please explain.",
,,,,hide reika,,,,,,,,,,
,,,,akane,,normal,,akane,โรงเรียนเอกชนซิลเวอร์ซีลเป็นโรงเรียนที่นักเรียนทุกคนสามารถมีส่วนร่วมในการนำเสนอนโยบายต่างๆ ได้,,,,Silver Seal Private School is a place where all students can participate in proposing various policies.,
,,,,,,,,akane,โดยปกตินักเรียนจะเสนอญัตติ จากนั้นสภานักเรียนเปิดให้ทุกคนโหวตลงคะแนน ซึ่งข้อเสนอที่ได้รับคะแนนเสียงข้างมากจะถูกนำไปปฏิบัติจริง,,,,"Normally, students submit motions, then the student council opens voting for everyone. Proposals that receive a majority vote are implemented.",
,,,,,,,,akane,แต่บางครั้งก็มีนักเรียนสองกลุ่มนำเสนอญัตติที่ขัดแย้งกันเองพร้อมกัน,,,,But sometimes two groups of students present conflicting motions simultaneously.,
,,,,,,,,akane,หากเกิดกรณีเช่นนี้ ทางสภานักเรียนจะเปิดเวทีพิเศษให้ทั้งสองฝ่ายแสดงจุดยืนของตัวเอง เรียกว่าการโต้วาที,,,,"When this happens, the student council sets up a special platform for both sides to present their positions, called a debate.",
,,,,,,,,akane,แต่ละฝ่ายสามารถนำเสนอข้อดี โน้มน้าวโน้มน้าวให้ทุกคนเห็นคล้อยตามความคิดของตัวเองได้,,,,"Each side can present the pros of their argument, persuading everyone to agree with their perspective.",
,,,,,,,,akane,อีกทั้งสามารถนำเสนอข้อโต้แย้งที่หักล้างความคิดเห็นของอีกฝ่ายได้ ภายใต้เงื่อนไขห้ามโจมตีบุคคลตรงๆ,,,,"They can also present counterarguments to refute the other side's views, under the condition that personal attacks are forbidden.",
